Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 März;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
;71;81;23;
;72;81;18;
;73;9;7;
;74;9;4;
;75;9;1;
;76;9;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-14;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;6;0;
;26;6;0;
;27;6;0;
;28;6;4;
;29;84;13;
;30;84;16;
;31;84;40;
;32;84;70;
;33;310;95;
;34;310;126;
;35;310;170;
;36;310;197;
;37;538;240;
;38;538;292;
;39;538;335;
;40;538;388;
;41;689;442;
;42;689;484;
;43;689;539;
;44;689;584;
;45;769;584;
;46;769;623;
;47;769;659;
;48;769;612;
;49;794;592;
;50;794;622;
;51;794;634;
;52;794;661;
;53;782;677;
;54;782;641;
;55;782;658;
;56;782;623;
;57;715;612;
;58;715;579;
;59;715;513;
;60;715;445;
;61;558;379;
;62;558;322;
;63;558;277;
;64;558;272;
;65;309;264;
;66;309;220;
;67;309;188;
;68;309;143;
;69;80;113;
;70;80;69;
;71;80;40;
;72;80;20;
;73;11;12;
;74;11;8;
;75;11;1;
;76;11;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-15;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;7;0;
;26;7;0;
;27;7;1;
;28;7;5;
;29;117;15;
;30;117;39;
;31;117;75;
;32;117;122;
;33;474;173;
;34;474;284;
;35;474;355;
;36;474;328;
;37;907;388;
;38;907;415;
;39;907;464;
;40;907;542;
;41;1289;454;
;42;1289;564;
;43;1289;753;
;44;1289;807;
;45;1554;858;
;46;1554;862;
;47;1554;860;
;48;1554;819;
;49;1542;852;
;50;1542;740;
;51;1542;743;
;52;1542;674;
;53;1374;609;
;54;1374;636;
;55;1374;646;
;56;1374;639;
;57;1099;575;
;58;1099;551;
;59;1099;501;
;60;1099;471;
;61;744;470;
;62;744;414;
;63;744;327;
;64;744;307;
;65;370;314;
;66;370;235;
;67;370;198;
;68;370;152;
;69;89;112;
;70;89;70;
;71;89;41;
;72;89;21;
;73;7;8;
;74;7;1;
;75;7;1;
;76;7;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-16;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;2;0;
;26;2;0;
;27;2;0;
;28;2;3;
;29;71;14;
;30;71;33;
;31;71;65;
;32;71;99;
;33;271;138;
;34;271;180;
;35;271;235;
;36;271;313;
;37;504;370;
;38;504;423;
;39;504;489;
;40;504;503;
;41;714;478;
;42;714;594;
;43;714;664;
;44;714;694;
;45;880;664;
;46;880;725;
;47;880;817;
;48;880;903;
;49;957;956;
;50;957;949;
;51;957;1021;
;52;957;1232;
;53;987;1114;
;54;987;1125;
;55;987;1061;
;56;987;942;
;57;920;1098;
;58;920;867;
;59;920;876;
;60;920;694;
;61;668;734;
;62;668;567;
;63;668;546;
;64;668;457;
;65;363;388;
;66;363;293;
;67;363;255;
;68;363;156;
;69;97;118;
;70;97;77;
;71;97;38;
;72;97;19;
;73;1;6;
;74;1;1;
;75;1;2;
;76;1;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-17;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;5;0;
;26;5;0;
;27;5;4;
;28;5;28;
;29;163;79;
;30;163;140;
;31;163;189;
;32;163;254;
;33;611;340;
;34;611;437;
;35;611;534;
;36;611;663;
;37;1052;791;
;38;1052;881;
;39;1052;968;
;40;1052;1078;
;41;1360;1134;
;42;1360;1239;
;43;1360;1281;
;44;1360;1404;
;45;1524;1528;
;46;1524;1602;
;47;1524;1587;
;48;1524;1557;
;49;1503;1523;
;50;1503;1558;
;51;1503;1595;
;52;1503;1629;
;53;1382;1650;
;54;1382;1593;
;55;1382;1557;
;56;1382;1478;
;57;1167;1444;
;58;1167;1405;
;59;1167;1339;
;60;1167;1287;
;61;832;1153;
;62;832;1160;
;63;832;1100;
;64;832;917;
;65;442;792;
;66;442;709;
;67;442;578;
;68;442;398;
;69;108;289;
;70;108;176;
;71;108;95;
;72;108;39;
;73;0;14;
;74;0;6;
;75;0;3;
;76;0;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
